	description	price	prime?	rating	url link
33	"Acer Aspire C24-963 Computer Fisso All in One, PC Desktop con Processore Intel Core i5-1035G1, Ram 8 GB DDR4, SSD 256 GB M.2 PCIE, Display 23.8"" FHD IPS, Intel UHD, Wireless Lan, Windows 10 Home, Nero"	749,00	prime	4,5 su 5 stelle	/Acer-Computer-Processore-i5-1035G1-Wireless/dp/B084XRM5B1?dchild=1
34	AXUF 1080P HD Webcam può Essere piegata in Base allo Spessore del Computer, Copertura per la Privacy con videocamera per Microfono, treppiede, Laptop, Computer, videocamera Plug And Play Desktop	33,99	prime	4,5 su 5 stelle	/AXUF-Copertura-videocamera-Microfono-treppiede/dp/B08MBQY8YG?dchild=1
35	Portatile HP Stream 14-ds0008nf Blu A4-9120e dual 4GB DDR4 64GB eMMC AMD Graphics - UMA 14'' HD slim SVA W10H-MS 1V2L8EA#ABF	309,60	prime	2,8 su 5 stelle	/Portatile-HP-14-ds0008nf-A4-9120e-Graphics/dp/B08D9WSJZN?dchild=1
36	CHUWI CoreBox Mini PC Windows 10 ,Intel Core i5-5257U Mini Desktop pc, 8GB DDR3 256GB SSD,Expandable 2TB 2.5 Pollici HDD, 2.4GHz/5GHz Dual WiFi / 4K Decodifica /BT4.2	299,00	prime	4,2 su 5 stelle	/CHUWI-CoreBox-i5-5257U-Expandable-Decodifica/dp/B08BYFN5BC?dchild=1
37	Virtual Revolution	no price available	not prime	4,0 su 5 stelle	No url Available
38	Notebook 13.3 Pollici TECLAST F6PLUS Pc portatile 360 ° Convertibile Intel Celeron N4100,256 GB SSD, 8 GB RAM, 4K, 1920 x 1080, Windows 10 Grigio	no price available	not prime	3,8 su 5 stelle	No url Available
39	"LENOVO Notebook Essential V145-15AST Monitor 15.6"" HD AMD A4-9125 Ram 4GB SSD 256GB 2xUSB 3.0 Free Dos"	no price available	not prime	4,1 su 5 stelle	No url Available
40	SONGMICS Sedia da Gaming, Sedia da Ufficio Alta, Altezza Regolabile, Braccioli Pieghevoli, Meccanismo di Inclinazione, per Gioco da Computer, Nero OBG28B	87,99	prime	4,5 su 5 stelle	/SONGMICS-Braccioli-Sollevabile-Regolabile-Ergonomica/dp/B017IAKF8Q?dchild=1
41	Doo Webcam 1080P Full HD, doosl Webcam per Laptop, Computer con Clip Regolabile per Videochiamate, Studi, Registrazione e Giochi	23,99	not prime	no vote available	/Doo-Computer-Regolabile-Videochiamate-Registrazione/dp/B08KCDQ18K?dchild=1
42	"Acer Chromebook 514 CB514-1H-P9AS Notebook Portatile, Processore Intel Pentium Quad-Core N4200, Ram 4GB DDR4, eMMC 128 GB, Display 14"" IPS Full HD, Grafica Intel HD 505, Chrome OS, Silver, [CB]"	479,00	prime	4,4 su 5 stelle	/Acer-Chromebook-CB514-1H-P9AS-Portatile-Processore/dp/B0857X4CZ5?dchild=1
43	"Notebook Pc Portatile Lenovo Display Led da 15.6"" / Cpu Amd A4 2.30GHz / Ram 8Gb Ddr4 / Ssd 256gb / Grafica Radeon R3 / Hdmi / Masterizzatore / Wifi / Bluetooth /Web Cam / Open Office / Windows 10 pro"	no price available	not prime	4,0 su 5 stelle	No url Available
44	"Nuovo Apple MacBook Pro (13"", 16GB RAM, 512GB Memoria SSD, Magic Keyboard) - Argento"	2.026,43	prime	4,6 su 5 stelle	/Nuovo-Apple-MacBook-Memoria-Keyboard/dp/B0882T64W8?dchild=1
45	"ASUS Zenbook 14 UX425JA-BM147T, Notebook in alluminio con Monitor 14"" FHD Anti-Glare, Intel Core i5-1035G1, RAM 8GB LPDDR4X, 512GB SSD PCIE, Windows 10 Home, Argento"	829,00	prime	4,5 su 5 stelle	/ASUS-UX425JA-BM147T-alluminio-Anti-Glare-i5-1035G1/dp/B086VPWHZ1?dchild=1
46	"Acer Swift 1 SF114-32-P4X8 Argento Computer Portatile 35,6 cm (14"") 1920 x 1080 Pixel Intel® Pentium® Silver 4 GB DDR4-SDRAM 256 GB SSD Windows 10 Home Swift 1 Swift 1 SF114-32-P4X8 N5000"	669,16	prime	5,0 su 5 stelle	/Acer-SF114-32-P4X8-Computer-Portatile-DDR4-SDRAM/dp/B07W67C5WS?dchild=1
47	"Acer Nitro 5 AN515-54-72FF Notebook Gaming, Processore Intel Core i7-9750H, RAM 16 GB DDR4, 1024GB PCIe NVMe SSD, Display 15.6"" FHD IPS 60 Hz LCD, Nvidia GeForce GTX 1650 4GB GDDR5, Windows 10 Home"	1.299,00	prime	4,4 su 5 stelle	/Acer-AN515-54-72FF-Notebook-Processore-i7-9750H/dp/B084XLGBKV?dchild=1
0	"HP 250 G7 Notebook PC Computer portatile Nero 39,6 cm (15.6"") 1366 x 768 Pixel Intel® Core™ i3 di decima generazione 8 GB DDR4-SDRAM 256 GB SSD Wi-Fi 4 (802.11n) Win10Pro"	no price available	not prime	5,0 su 5 stelle	No url Available
1	HP - PC Pavilion x360 14-dw0003nl Convertibile, Intel Core i3-1005G1, RAM 8 GB, SSD 256 GB, Grafica Intel UHD, Windows 10 Home, Schermo Touch 14” FHD IPS, Lettore Impronte Digitali, USB-C, Argento	699,99	not prime	5,0 su 5 stelle	/HP-Pavilion-14-dw0003nl-Convertibile-i3-1005G1/dp/B08BKT9YC2?dchild=1
2	"Apple MacBook PRO Grigio Computer Portatile 40,6 cm (16"") 3072 x 1920 Pixel 9th Gen Intel® Core i7 16 GB DDR4-SDRAM 512 GB SSD macOS Catalina MacBook PRO, 9th Gen Intel® Core i7, 2,6"	no price available	not prime	4,7 su 5 stelle	No url Available
3	"HP - Gaming Pavilion 16-a0019nl Notebook, Intel Core i7-10750H, RAM 16 GB, SSD 512 GB, NVIDIA GeForce GTX 1650Ti 4 GB, Windows 10 Home, Schermo 16.1"" FHD IPS, Webcam, USB-C, HDMI, RJ-45, Nero"	1.299,99	prime	5,0 su 5 stelle	/HP-Pavilion-16-a0019nl-Notebook-i7-10750H/dp/B08BKV4VVW?dchild=1
4	"ASUS M509DA-EJ025T Argento Computer portatile 39,6 cm (15.6"") AMD Ryzen 5 8 GB DDR4-SDRAM 512 GB SSD Windows 10"	no price available	not prime	4,3 su 5 stelle	No url Available
5	"ASUS P509JA-EJ025R Grigio Computer portatile 39,6 cm (15.6"") 1920 x 1080 Pixel Intel® Core? i3 di decima generazione 4 GB 256 GB SSD Wi-Fi 5 (802.11ac) Windows 10 Pro"	no price available	not prime	no vote available	No url Available
6	Tablet PC 7 Pollici,Computer portatile Quad Core Con Tastiera e Penna, Tableta memoria RAM da 512MB + 8GB,Fotocamera integrata Dual Camera,WIFI,Bluetooth (Rosa)	66,99	prime	2,9 su 5 stelle	/Computer-portatile-Fotocamera-integrata-Bluetooth/dp/B07T96DWZ9?dchild=1
7	Dark/Web	no price available	not prime	no vote available	No url Available
8	"ASUS Chromebook C223NA-GJ0067, Notebook con Monitor 11.6"" HD Anti-Glare, Intel Celeron N3350, RAM 4GB LPDDR4, 32G eMMC, Sistema operativo Chrome, Grigio"	269,00	prime	1,0 su 5 stelle	/ASUS-Chromebook-C223NA-GJ0067-Anti-Glare-operativo/dp/B0895CRMC6?dchild=1
9	Megaport PC-Gaming Intel Core i7-10700F 8x 2.90GHz • GeForce RTX 2060 6GB • 16 GB DDR4 • 480GB SSD • 1TB HDD • Windows 10 Home • WiFi • PC da gaming • PC assemblato	1.199,00	not prime	4,4 su 5 stelle	/Megaport-PC-Gaming-i7-8700-assemblato-completo/dp/B079G2RQVB?dchild=1
10	"Apple MacBook Air Argento Computer Portatile 33,8 cm (13.3"") 2560 x 1600 Pixel Intel® Core i3 di Decima Generazione 8 GB LPDDR4x-SDRAM 256 GB SSD Wi-Fi 5 (802.11ac) macOS Catalina MacBook"	no price available	not prime	4,8 su 5 stelle	No url Available
11	"Acer Aspire 3 A315-56-5205 - Computer portatile 15,6"" FHD (Core i5, 8 GB di RAM, SSD 512 GB, Intel UHD Graphics, Windows 10F)"	742,27	prime	3,6 su 5 stelle	/Acer-Aspire-A315-56-5205-Computer-portatile/dp/B089T436YR?dchild=1
12	"HONOR MagicBook 14 Notebook, 14"" FullHD(AMD Ryzen 5-3500U, 8GB RAM, 256GB PCIe SSD, 1920*1080, Windows 10, Multischermo Collaborazione, USB 3.0), Spazio Grigio (Tastiera QWERTY Inglese)"	605,99	prime	3,9 su 5 stelle	/HONOR-MagicBook-Notebook-Multischermo-Collaborazione/dp/B08GLJ6667?dchild=1
13	"ASUS ROG Strix G15 G512LI-HN113T, Notebook Monitor 15,6"" FHD Anti-Glare 144Hz, Intel Core i7-10750H, RAM 16GB DDR4, Grafica NVIDIA GeForce GTX1650 Ti 4GB, 512GB SSD PCIE, Windows10 Home, Nero scuro"	1.199,00	prime	4,3 su 5 stelle	/ASUS-G512LI-HN113T-Anti-Glare-i7-10750H-Windows10/dp/B086VR1G9F?dchild=1
14	"Acer Nitro 5 AN515-44-R6WC Notebook Gaming con Processore AMD Ryzen 7 4800H, Ram 8 GB DDR4, 512 GB PCIe NVMe SSD, Display 15.6"" FHD IPS LED LCD, NVIDIA GeForce GTX 1650 4 GB, Windows 10 Home"	1.099,00	prime	4,5 su 5 stelle	/Acer-AN515-44-R6WC-Notebook-Processore-Display/dp/B087D42TS5?dchild=1
15	Apple MacBook Pro MD101LL/A - Computer portatile da 13,3inch (2,5 Ghz, 4 GB RAM, 500 GB HD)(Ricondizionato)	no price available	not prime	3,8 su 5 stelle	No url Available
16	PC Computer Desktop Fujitsu Esprimo E720, Windows 10 Professional, Intel Core i5-4570, Memoria Ram 8GB DDR3, SSD 480GB, DVD-ROM, WIFI (Ricondizionato)	198,99	not prime	5,0 su 5 stelle	/Computer-Desktop-Fujitsu-Professional-Ricondizionato/dp/B08KXYQSWH?dchild=1
17	"Lenovo AIO 3 IdeaCentre All in One 3, Display 21.5"" Full HD, Processore AMD Athlon Silver 3050U, 256 GB SSD, RAM 8 GB, DVD±RW, Windows 10, Tastiera e Mouse USB, Business Black"	499,00	prime	4,1 su 5 stelle	/Lenovo-AIO-IdeaCentre-Processore-Tastiera/dp/B089MCMX97?dchild=1
18	HP – PC 15s-eq0021nl Notebook, AMD Ryzen 3, RAM 8 GB, SSD 256 GB, Grafica AMD Radeon Vega 3, Windows 10 Home S, Schermo 15” FHD SVA Antiriflesso, Micro-Edge, Fast Charge, Lettore SD/Micro SD, Argento	no price available	not prime	4,4 su 5 stelle	No url Available
19	"Acer Aspire 3 A315-42 Computer Portatile Nero 39,6 cm (15.6"") 1920 x 1080 Pixel AMD Athlon II 4 GB DDR4-SDRAM 128 GB SSD Wi-Fi 5 (802.11ac) Windows 10 Home Aspire 3 A315-42, AMD Athlon II, 2,4"	323,36	not prime	1,0 su 5 stelle	/Acer-Computer-Portatile-DDR4-SDRAM-802-11ac/dp/B087XD9RXK?dchild=1
20	"Notebook HP 250 G7 Silver Portatile Display da 15.6"" /Cpu Intel core I3-1005G1 3,4Ghz /Ram 8Gb DDR4 /SSD M2 512GB /VGA INTEL UHD /Hdmi DVD Wifi Bluetooth/Windows 10 professional + Open Office"	no price available	not prime	4,3 su 5 stelle	No url Available
21	Megaport PC Completo AMD Athlon 3000G 2x 3.50GHz • AMD Radeon Vega 3 • Schermo ASUS Full-HD LED 24” • Tastiera/Mouse • Windows 10 Home • 1TB HDD • 8GB RAM DDR4 2400	529,00	not prime	4,1 su 5 stelle	/Megaport-Completo-A8-9600-Tastiera-completo/dp/B01K7YAMEC?dchild=1
22	Thomson HERO9A-1BK32 - Computer portatile 2 in 1 Nero 9	130,44	prime	3,3 su 5 stelle	/Thomson-COMPUTER-PORTATILE-quad-core-Graphics/dp/B07235SJ82?dchild=1
23	Automan	no price available	not prime	no vote available	No url Available
24	"Apple MacBook PRO Grigio Computer Portatile 40,6 cm (16"") 3072 x 1920 Pixel 9th Gen Intel® Core i9 16 GB DDR4-SDRAM 1024 GB SSD macOS Catalina MacBook PRO, 9th Gen Intel® Core i9, 2,3"	no price available	not prime	4,6 su 5 stelle	No url Available
25	"SAMSUNG Galaxy Book Ion NP950XCJ-X01DE Notebook/Portatile Computer Portatile Argento 39,6 cm (15.6"") 1920 x 1080 Pixel Intel® Core i7 di Decima Generazione 16 GB DDR4-SDRAM 512 GB SSD Wi-Fi 6 ("	2.015,89	prime	3,3 su 5 stelle	/SAMSUNG-NP950XCJ-X01DE-Portatile-Generazione-DDR4-SDRAM/dp/B0892QX5DG?dchild=1
26	Mini PC, Intel Pentium J3710 Processore Quad-Core CPU 4 GB DDR / 128 GB SSD Mini Desktop Computer con Windows 10, HDMI e VGA, Dual Band WiFi 2,4 + 5,8 G, BT 4.2, USB 3.0	189,99	prime	4,7 su 5 stelle	/Pentium-Processore-Quad-Core-Desktop-Computer/dp/B08H816MBC?dchild=1
27	VESSTT Webcam per PC, Full HD 1080P Videocamera con Microfono PC Laptop Desktop Computer USB 2.0 Full HD Videocamera con Clip Regolabile per Videochiamata, Studi, Conferenze, Registrazione e Giochi	29,99	prime	4,6 su 5 stelle	/VESSTT-Videocamera-Regolabile-Videochiamata-Registrazione/dp/B08K3FHDMD?dchild=1
28	"Nuovo Apple MacBook Pro (16"", 16GB RAM, Archiviazione 1TB, Intel Core i9 a 2,3GHz) - Grigio Siderale"	3.028,00	prime	4,6 su 5 stelle	/Nuovo-Apple-MacBook-Archiviazione-Intel/dp/B081G26RWP?dchild=1
29	The Commodore Wars - 8-Bit Generation	no price available	not prime	no vote available	No url Available
30	"Lenovo Chromebook S345 Notebook, Display 14"" Full HD TN, Processore AMD A6-9220C, 64 GB eMMC, RAM 4 GB, Chrome OS, Mineral Grey"	329,00	prime	no vote available	/Lenovo-Chromebook-Notebook-Processore-A6-9220C/dp/B08J8C1TD2?dchild=1
31	"Apple MacBook PRO Argento Computer Portatile 33,8 cm (13.3"") 2560 x 1600 Pixel Intel® Core i5 di ottava Generazione 8 GB LPDDR3-SDRAM 256 GB SSD Wi-Fi 5 (802.11ac) macOS Catalina MacBook"	no price available	not prime	4,7 su 5 stelle	No url Available
32	HAPAW Supporto PC Portatile, 8-Levels Regolabile Supporto Laptop Notebook Pieghevole Alluminio Porta Tablet PC Supporto Compatibile con MacBook Air/PRO, dell, XPS, HP, Lenovo, iPad, Cellulare (5”–18”)	19,98	not prime	4,4 su 5 stelle	/HAPAW-Portatile-Regolabile-Pieghevole-Compatibile/dp/B08C57S29M?dchild=1
33	PC DELL 7010 SFF Intel Core i5 3470 3.20Ghz/RAM 8GB/480GB SSD/DVD+RW/WIN 10 PRO (Ricondizionato)	209,57	not prime	4,5 su 5 stelle	/DELL-Intel-3-20Ghz-480GB-Ricondizionato/dp/B07RR23WR2?dchild=1
34	"Lenovo ThinkBook 15 Grigio Computer Portatile 39,6 cm (15.6"") 1920 x 1080 Pixel Intel® Core i7 di Decima Generazione 16 GB DDR4-SDRAM 512 GB SSD Wi-Fi 6 (802.11ax) ThinkBook 15, Intel®"	1.084,61	prime	2,7 su 5 stelle	/Lenovo-ThinkBook-Portatile-Generazione-DDR4-SDRAM/dp/B08656628P?dchild=1
35	"Acer Swift 3 SF314-58-597S Pc Portatile, Notebook con Processore Intel Core i5-10210U, 8 GB DDR4, 512 GB PCIe NVMe SSD, Display 14"" FHD IPS LED LCD, Scheda Grafica Intel UHD, Windows 10 Home, Silver"	749,00	prime	4,2 su 5 stelle	/Acer-SF314-58-597S-Portatile-Processore-i5-10210U/dp/B084XLQDBS?dchild=1
36	Notebook Lenovo Silver 8 Gb DDR4, SSD M.2 PCi da 256Gb cpu Amd A4 3020 di ultima generazione, Display Hd da 15,6 pollici, web cam, 3usb, hdmi, bt, Win10 Pro, Pronto All'uso, garanzia Italia	no price available	not prime	4,3 su 5 stelle	No url Available
37	"Apple MacBook Air Oro Computer Portatile 33,8 cm (13.3"") 2560 x 1600 Pixel Intel® Core i3 di Decima Generazione 8 GB LPDDR4x-SDRAM 256 GB SSD Wi-Fi 5 (802.11ac) macOS Catalina MacBook Air,"	no price available	not prime	4,8 su 5 stelle	No url Available
38	"ASUS VivoBook S15 S533FA-BQ008T Computer Portatile 39,6 cm (15.6"") 1920 x 1080 Pixel Intel Core i5 di Decima Generazione 8 GB DDR4-SDRAM 512 GB SSD Wi-Fi 6 (802.11ax) Windows 10, Tastiera Tedesca"	852,07	prime	2,5 su 5 stelle	/ASUS-S533FA-BQ008T-Portatile-Generazione-DDR4-SDRAM/dp/B083SWY6CV?dchild=1
39	"Acer Nitro 5 AN515-54-55CQ Notebook Gaming, Intel Core i5-9300H, Ram 8 GB, 512 GB PCIe NVMe SSD, Display 15.6"" FHD IPS 60 Hz LCD, Nvidia GeForce GTX 1650 4 GB GDDR5, No Sistema Operativo"	899,00	prime	3,2 su 5 stelle	/Acer-AN515-54-55CQ-Notebook-i5-9300H-Operativo/dp/B084XLFCX3?dchild=1
40	"HP - PC 15s-eq1015nl Notebook, AMD Ryzen 3, RAM 8 GB, SSD 128 GB, Grafica AMD Radeon R3, Windows 10 Home S Mode, Schermo 15.6"" FHD SVA Antiriflesso, Lettore Micro SD, HDMI, USB-C, Webcam, Grigio"	499,99	prime	4,4 su 5 stelle	/HP-15s-eq1015nl-Notebook-Grafica-Antiriflesso/dp/B089QX6XDD?dchild=1
